,precision,recall,f1-score,support
benign,0.2857142857142857,1.0,0.4444444444444444,2.0
censys,0.0,0.0,0.0,1.0
driftnet,0.0,0.0,0.0,1.0
internetcensus,0.0,0.0,0.0,4.0
intrinsec,0.3333333333333333,0.5,0.4,2.0
mirai,0.0,0.0,0.0,3.0
rapid7,0.0,0.0,0.0,2.0
securitytrails,0.0,0.0,0.0,1.0
unk_bruteforcer,0.0,0.0,0.0,1.0
unk_exploiter,0.0,0.0,0.0,2.0
unk_spammer,0.0,0.0,0.0,1.0
accuracy,0.15,0.15,0.15,0.15
macro avg,0.05627705627705628,0.13636363636363635,0.07676767676767676,20.0
weighted avg,0.06190476190476191,0.15,0.08444444444444445,20.0
