,precision,recall,f1-score,support
benign,0.0,0.0,0.0,2.0
censys,0.0,0.0,0.0,1.0
driftnet,0.0,0.0,0.0,1.0
internetcensus,0.18181818181818182,0.5,0.26666666666666666,4.0
intrinsec,0.0,0.0,0.0,2.0
mirai,0.0,0.0,0.0,3.0
rapid7,0.0,0.0,0.0,2.0
securitytrails,0.0,0.0,0.0,1.0
unk_bruteforcer,0.0,0.0,0.0,1.0
unk_exploiter,0.0,0.0,0.0,2.0
unk_spammer,0.0,0.0,0.0,1.0
accuracy,0.1,0.1,0.1,0.1
macro avg,0.01652892561983471,0.045454545454545456,0.024242424242424242,20.0
weighted avg,0.03636363636363636,0.1,0.05333333333333333,20.0
