,precision,recall,f1-score,support
benign,0.2,0.5,0.2857142857142857,2.0
censys,0.0,0.0,0.0,1.0
driftnet,0.0,0.0,0.0,1.0
internetcensus,0.125,0.25,0.16666666666666666,4.0
intrinsec,0.0,0.0,0.0,2.0
mirai,0.75,1.0,0.8571428571428571,3.0
rapid7,0.0,0.0,0.0,2.0
securitytrails,0.0,0.0,0.0,1.0
unk_bruteforcer,0.0,0.0,0.0,1.0
unk_exploiter,0.0,0.0,0.0,2.0
unk_spammer,0.0,0.0,0.0,1.0
accuracy,0.25,0.25,0.25,0.25
macro avg,0.09772727272727272,0.1590909090909091,0.11904761904761903,20.0
weighted avg,0.1575,0.25,0.19047619047619047,20.0
