,precision,recall,f1-score,support
benign,0.16666666666666666,0.5,0.25,2.0
censys,0.0,0.0,0.0,1.0
driftnet,0.0,0.0,0.0,1.0
internetcensus,0.14285714285714285,0.25,0.18181818181818182,4.0
intrinsec,0.0,0.0,0.0,2.0
mirai,0.5,0.3333333333333333,0.4,3.0
rapid7,0.0,0.0,0.0,2.0
securitytrails,0.0,0.0,0.0,1.0
unk_bruteforcer,0.0,0.0,0.0,1.0
unk_exploiter,0.0,0.0,0.0,2.0
unk_spammer,0.0,0.0,0.0,1.0
accuracy,0.15,0.15,0.15,0.15
macro avg,0.0735930735930736,0.09848484848484848,0.0756198347107438,20.0
weighted avg,0.12023809523809523,0.15,0.12136363636363638,20.0
