,precision,recall,f1-score,support
benign,0.0,0.0,0.0,2.0
censys,0.0,0.0,0.0,1.0
driftnet,0.0,0.0,0.0,1.0
internetcensus,0.25,0.5,0.3333333333333333,4.0
intrinsec,0.0,0.0,0.0,2.0
mirai,0.5,0.6666666666666666,0.5714285714285714,3.0
rapid7,0.0,0.0,0.0,2.0
securitytrails,0.0,0.0,0.0,1.0
unk_bruteforcer,0.0,0.0,0.0,1.0
unk_exploiter,0.0,0.0,0.0,2.0
unk_spammer,0.0,0.0,0.0,1.0
accuracy,0.2,0.2,0.2,0.2
macro avg,0.06818181818181818,0.10606060606060605,0.08225108225108224,20.0
weighted avg,0.125,0.2,0.15238095238095237,20.0
