,precision,recall,f1-score,support
benign,0.0,0.0,0.0,2.0
censys,0.0,0.0,0.0,1.0
driftnet,0.0,0.0,0.0,1.0
internetcensus,0.125,0.25,0.16666666666666666,4.0
intrinsec,0.0,0.0,0.0,2.0
mirai,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
rapid7,0.0,0.0,0.0,2.0
securitytrails,0.0,0.0,0.0,1.0
unk_bruteforcer,0.0,0.0,0.0,1.0
unk_exploiter,0.0,0.0,0.0,2.0
unk_spammer,0.0,0.0,0.0,1.0
accuracy,0.1,0.1,0.1,0.1
macro avg,0.041666666666666664,0.053030303030303025,0.045454545454545456,20.0
weighted avg,0.075,0.1,0.08333333333333333,20.0
