,precision,recall,f1-score,support
benign,0.0,0.0,0.0,2.0
censys,0.0,0.0,0.0,1.0
driftnet,0.0,0.0,0.0,1.0
internetcensus,0.16666666666666666,0.25,0.2,4.0
intrinsec,0.0,0.0,0.0,2.0
mirai,0.5,0.3333333333333333,0.4,3.0
rapid7,0.0,0.0,0.0,2.0
securitytrails,0.0,0.0,0.0,1.0
unk_bruteforcer,0.0,0.0,0.0,1.0
unk_exploiter,0.0,0.0,0.0,2.0
unk_spammer,0.0,0.0,0.0,1.0
accuracy,0.1,0.1,0.1,0.1
macro avg,0.0606060606060606,0.053030303030303025,0.05454545454545456,20.0
weighted avg,0.10833333333333332,0.1,0.1,20.0
