,precision,recall,f1-score,support
benign,0.0,0.0,0.0,2.0
censys,0.0,0.0,0.0,1.0
driftnet,0.0,0.0,0.0,1.0
internetcensus,0.2222222222222222,0.5,0.3076923076923077,4.0
intrinsec,0.0,0.0,0.0,2.0
mirai,0.0,0.0,0.0,3.0
rapid7,0.0,0.0,0.0,2.0
securitytrails,0.0,0.0,0.0,1.0
unk_bruteforcer,0.0,0.0,0.0,1.0
unk_exploiter,0.0,0.0,0.0,2.0
unk_spammer,0.0,0.0,0.0,1.0
accuracy,0.1,0.1,0.1,0.1
macro avg,0.0202020202020202,0.045454545454545456,0.027972027972027972,20.0
weighted avg,0.04444444444444444,0.1,0.06153846153846154,20.0
