,precision,recall,f1-score,support
benign,0.2,0.5,0.2857142857142857,2.0
censys,0.0,0.0,0.0,1.0
driftnet,0.0,0.0,0.0,1.0
internetcensus,0.0,0.0,0.0,4.0
intrinsec,0.3333333333333333,0.5,0.4,2.0
mirai,0.0,0.0,0.0,3.0
rapid7,0.0,0.0,0.0,2.0
securitytrails,0.0,0.0,0.0,1.0
unk_bruteforcer,0.0,0.0,0.0,1.0
unk_exploiter,0.0,0.0,0.0,2.0
unk_spammer,0.0,0.0,0.0,1.0
accuracy,0.1,0.1,0.1,0.1
macro avg,0.048484848484848485,0.09090909090909091,0.06233766233766234,20.0
weighted avg,0.05333333333333333,0.1,0.06857142857142857,20.0
