,precision,recall,f1-score,support
benign,0.0,0.0,0.0,2.0
censys,0.0,0.0,0.0,1.0
driftnet,0.0,0.0,0.0,1.0
internetcensus,0.2857142857142857,0.5,0.36363636363636365,4.0
intrinsec,0.0,0.0,0.0,2.0
mirai,0.5,0.3333333333333333,0.4,3.0
rapid7,0.0,0.0,0.0,2.0
securitytrails,0.0,0.0,0.0,1.0
unk_bruteforcer,0.0,0.0,0.0,1.0
unk_exploiter,0.0,0.0,0.0,2.0
unk_spammer,0.0,0.0,0.0,1.0
accuracy,0.15,0.15,0.15,0.15
macro avg,0.07142857142857142,0.07575757575757575,0.06942148760330578,20.0
weighted avg,0.13214285714285715,0.15,0.13272727272727275,20.0
